state,year,notifications,detection_prob,incidence_est,missed_cases,system_z,risk_z,system_score,risk_score,gap_category
Meghalaya,2023,4720.285820774778,0.861970950119065,5476.154179120259,755.8683583454813,-1.0017933519414917,0.7173391974544052,0.6356999999999999,0.9269877605763079,Low gap (>85%)
Kerala,2023,20911.99060997596,0.98,21338.765928546898,426.7753185709371,0.4602088780603155,-1.6783059260512476,0.7814499999999999,-2.1688052980697194,Low gap (>85%)
Himachal Pradesh,2023,15888.79874722633,0.98,16213.059946149317,324.2611989229863,1.9187002965321025,-0.11446342688479111,0.92685,-0.14791634993927308,Low gap (>85%)
Manipur,2023,2065.268468010355,0.865856465500621,2385.2319065565416,319.9634385461868,-1.373939374123769,-0.018626384059572395,0.5986,-0.024070105339692227,Low gap (>85%)
Jammu and Kashmir,2023,12054.283624953772,0.9751234502551455,12361.802622836847,307.5189978830749,0.5178864960535283,-0.2209992683023904,0.7872000000000001,-0.28558820923159933,Low gap (>85%)
Nagaland,2023,4350.832239275148,0.9571925148654162,4545.409801796127,194.57756252097897,0.0619825416550219,0.08106748110571232,0.74175,0.10476015117035682,Low gap (>85%)
Arunachal Pradesh,2023,2583.8803277551774,0.9366563186413241,2758.6215737093944,174.741245954217,-0.5238214393542788,-0.14627909131816408,0.68335,-0.1890304165189323,Low gap (>85%)
Chandigarh,2023,3884.999462601701,0.98,3964.2851659201033,79.28570331840228,0.33482275198812084,-1.767200505082145,0.76895,-2.283680083994774,Low gap (>85%)
Sikkim,2023,1411.2667864737425,0.9591542597819506,1471.3658122047782,60.09902573103568,-0.42802643903512144,-0.8988643180871528,0.6929,-1.1615651622585734,Low gap (>85%)
Goa,2023,1998.7209284855767,0.9773494379450178,2045.0422856824905,46.32135719691382,0.02687442635480749,-1.2968631731266331,0.7382500000000001,-1.675882612990705,Low gap (>85%)
Mizoram,2023,2251.1426301312868,0.98,2297.0843164604967,45.941686329209915,1.7998342490156625,-0.7725929845186787,0.9150000000000001,-0.9983899431362925,Low gap (>85%)
Dadra & Nagar Haveli and Daman & Diu,2023,844.4653291420118,0.9637328908560783,876.2441721708576,31.778843028845813,0.2430401077032722,0.06174837371083703,0.7597999999999999,0.07979486813011569,Low gap (>85%)
Puducherry,2023,1496.1722679363904,0.98,1526.7063958534598,30.534127917069327,2.4092108217265347,-1.548541463630468,0.97575,-2.001116053081162,Low gap (>85%)
Andaman & Nicobar Islands,2023,676.9491089589496,0.9708501327911561,697.2745700850321,20.325461126082473,0.36090306621113816,-0.1777359613205843,0.7715500000000001,-0.229680827902784,Low gap (>85%)
Ladakh,2023,383.2220379530325,0.9593129070925313,399.4755362090302,16.253498255997727,0.546474532797987,0.8471234065667397,0.7900499999999999,1.0947025233972218,Low gap (>85%)
Lakshadweep,2023,13.768456453402365,0.9777040836844961,14.082437296892204,0.3139808434898388,0.13270031675974056,-1.1386644275810398,0.7488,-1.471448920562219,Low gap (>85%)
