state,year,notifications,detection_prob,incidence_est,missed_cases,system_z,risk_z,system_score,risk_score,gap_category
Bihar,2023,177333.129634338,0.5722382733133488,309893.86398003675,132560.73434569876,-2.0329688527592333,1.9427598179469165,0.5328999999999999,2.510548119170243,High gap (<75%)
Uttar Pradesh,2023,582837.11961446,0.849195340790402,686340.4585710223,103503.33895656222,-1.1176501324322003,0.7157040098416168,0.62415,0.9248746752901839,Moderate gap (75-85%)
Madhya Pradesh,2023,166577.67040148852,0.75545021995006,220501.18724235773,53923.51684086921,-1.620197725729563,1.0119361214183575,0.57405,1.3076831746664754,Moderate gap (75-85%)
Assam,2023,48545.28271195451,0.7802909375166179,62214.33618908413,13669.053477129622,-1.4035304998768086,1.123001893354627,0.5956499999999999,1.451208875714515,Moderate gap (75-85%)
Jharkhand,2023,54821.404111963755,0.811775883457349,67532.68387141498,12711.279759451223,-0.6838141362224025,2.0300347173108686,0.6673999999999999,2.6233298600858506,Moderate gap (75-85%)
Rajasthan,2023,158846.68210290308,0.9284360138810989,171090.60799880384,12243.925895900757,-0.21386693570381055,0.6733025375249331,0.7142499999999999,0.870081007235429,Low gap (>85%)
Maharashtra,2023,207020.21649061574,0.9600975479117091,215624.14875540687,8603.932264791132,0.13270031675974056,0.06174837371083703,0.7488,0.07979486813011569,Low gap (>85%)
Delhi,2023,85733.8835925943,0.9089716730210977,94319.6428857298,8585.759293135503,-1.5459691390948223,-1.2009487937983165,0.58145,-1.5519364296284412,Low gap (>85%)
West Bengal,2023,101450.5766341531,0.9436457123080261,107509.17988703526,6058.603252882167,0.251064819771893,0.9998137808630053,0.7605999999999999,1.292017975602732,Low gap (>85%)
Gujarat,2023,139026.9890382304,0.9717411283506845,143069.98539230085,4042.996354070463,0.9201251884931329,0.7649433882265271,0.8273,0.9885046863967479,Low gap (>85%)
Chhattisgarh,2023,36236.282642612794,0.9165084736692106,39537.31327495758,3301.0306323447876,-0.07794837504154813,1.2521226216112964,0.7278000000000001,1.6180662496812288,Low gap (>85%)
Punjab,2023,56909.62000739644,0.9578102025923874,59416.38526439388,2506.765256997438,-0.6406813088535651,-1.2140867561742508,0.6717000000000001,-1.568914074743362,Low gap (>85%)
Odisha,2023,59523.33199080066,0.9607332782643394,61956.146765661644,2432.8147748609845,0.8925402407572482,1.396015585749389,0.8245499999999999,1.8040131727859512,Low gap (>85%)
Karnataka,2023,72959.05074657913,0.9696458948459006,75242.98420112842,2283.9334545492893,0.31125016028654723,-0.1836660386298215,0.7666,-0.23734402141631505,Low gap (>85%)
Tamil Nadu,2023,93907.75724043083,0.98,95824.24208207228,1916.484841641446,0.5499853443280093,-0.6605546892470305,0.7904,-0.8536074904260407,Low gap (>85%)
Andhra Pradesh,2023,86302.97979266827,0.9796808769957189,88092.95130606637,1789.971513398108,0.531428197669324,-0.6106760536939783,0.78855,-0.7891513937342596,Low gap (>85%)
Haryana,2023,79239.76163207286,0.98,80856.89962456415,1617.1379924912908,0.5043447944377293,-0.7105705045631195,0.7858499999999999,-0.9182408588489429,Low gap (>85%)
Telangana,2023,71352.73082701553,0.98,72808.90900715871,1456.178180143179,1.0204340893508899,-0.10595177594750688,0.8373,-0.13691709565460553,Low gap (>85%)
Tripura,2023,3366.3876028568784,0.7881050647756837,4271.495963314288,905.1083604574096,-1.3483606044050416,1.1299512460392387,0.60115,1.4601892366168934,Moderate gap (75-85%)
Uttarakhand,2023,25187.096338757394,0.9658089633573165,26078.75604219157,891.6597034341758,0.08605667786088426,-0.34302101041841515,0.7441500000000001,-0.4432718571727021,Low gap (>85%)
