year,notifications,incidence,missed,detection_rate
2020,1629301.0,2769835.404784036,1140534.404784036,0.5882302598868818
2021,1965444.0,2770159.1581521276,804715.1581521279,0.7095058037427265
2022,2255641.0,2789939.8181322673,534298.8181322672,0.8084909163058739
2023,2382714.0,2760552.7849553,377838.7849553001,0.8631293025750211
