state,year,notifications,detection_prob,incidence_est,missed_cases,system_z,risk_z,system_score,risk_score,target_detection,additional_notifications
Andaman & Nicobar Islands,2020,431.3113016221126,0.8706023927072751,495.4170873352211,64.1057857131085,0.36090306621113816,-0.1777359613205843,0.7715500000000001,-0.229680827902784,0.8,0.0
Andhra Pradesh,2020,57807.44464104737,0.9068898798347165,63742.51816723653,5935.0735261891605,0.531428197669324,-0.6106760536939783,0.78855,-0.7891513937342596,0.8,0.0
Arunachal Pradesh,2020,2275.663394750979,0.749193392371439,3037.4846040056086,761.8212092546296,-0.5238214393542788,-0.14627909131816408,0.68335,-0.1890304165189323,0.8,154.32428845350796
Assam,2020,31816.878256270527,0.41773859009164854,76164.56561815405,44347.68736188352,-1.4035304998768086,1.123001893354627,0.5956499999999999,1.451208875714515,0.8,29114.774238252718
Bihar,2020,89324.75103091927,0.2127484862800435,419860.8064987122,330536.05546779296,-2.0329688527592333,1.9427598179469165,0.5328999999999999,2.510548119170243,0.8,246563.89416805055
Chandigarh,2020,3874.583115408685,0.935689181055982,4140.886946064699,266.30383065601427,0.33482275198812084,-1.767200505082145,0.76895,-2.283680083994774,0.8,0.0
Chhattisgarh,2020,26473.310205630045,0.6892038581300404,38411.436461568686,11938.126255938641,-0.07794837504154813,1.2521226216112964,0.7278000000000001,1.6180662496812288,0.8,4255.838963624905
Dadra & Nagar Haveli and Daman & Diu,2020,870.7435273333444,0.842967637932279,1032.9501254273498,162.20659809400536,0.2430401077032722,0.06174837371083703,0.7597999999999999,0.07979486813011569,0.8,0.0
Delhi,2020,78359.69886081068,0.6685683249648382,117205.22186708714,38845.52300627646,-1.5459691390948223,-1.2009487937983165,0.58145,-1.5519364296284412,0.8,15404.478632859042
Goa,2020,1497.8593319931106,0.8970837170014425,1669.6984948069255,171.83916281381494,0.02687442635480749,-1.2968631731266331,0.7382500000000001,-1.675882612990705,0.8,0.0
Gujarat,2020,108784.28979824664,0.8741603910770492,124444.31354778496,15660.023749538319,0.9201251884931329,0.7649433882265271,0.8273,0.9885046863967479,0.8,0.0
Haryana,2020,56573.06417950124,0.9090268574186474,62234.755461627494,5661.691282126252,0.5043447944377293,-0.7105705045631195,0.7858499999999999,-0.9182408588489429,0.8,0.0
Himachal Pradesh,2020,12112.809441370793,0.9636199605081178,12570.110559959443,457.30111858864984,1.9187002965321025,-0.11446342688479111,0.92685,-0.14791634993927308,0.8,0.0
Jammu and Kashmir,2020,7967.5288563248,0.8878745599505752,8973.710043869625,1006.1811875448257,0.5178864960535283,-0.2209992683023904,0.7872000000000001,-0.28558820923159933,0.8,0.0
Jharkhand,2020,41060.29451948584,0.46559561850170295,88188.74767683334,47128.4531573475,-0.6838141362224025,2.0300347173108686,0.6673999999999999,2.6233298600858506,0.8,29490.703621980843
Karnataka,2020,59359.44346696794,0.8658290680741394,68557.92402419676,9198.480557228824,0.31125016028654723,-0.1836660386298215,0.7666,-0.23734402141631505,0.8,0.0
Kerala,2020,18799.93926631112,0.93968453613427,20006.649618446874,1206.710352135753,0.4602088780603155,-1.6783059260512476,0.7814499999999999,-2.1688052980697194,0.8,0.0
Ladakh,2020,215.6556508110563,0.8264796085320243,260.9328150202028,45.27716420914649,0.546474532797987,0.8471234065667397,0.7900499999999999,1.0947025233972218,0.8,0.0
Lakshadweep,2020,18.04649797582061,0.8985646716755152,20.08369407865777,2.037196102837161,0.13270031675974056,-1.1386644275810398,0.7488,-1.471448920562219,0.8,0.0
Madhya Pradesh,2020,124203.21766878777,0.38425387715832726,323232.1781300109,199028.96046122315,-1.620197725729563,1.0119361214183575,0.57405,1.3076831746664754,0.8,134382.52483522095
Maharashtra,2020,144067.9003156723,0.82937027417587,173707.57646074297,29639.67614507067,0.13270031675974056,0.06174837371083703,0.7488,0.07979486813011569,0.8,0.0
Manipur,2020,1410.3338168103808,0.5659589665130106,2491.9365188252727,1081.602702014892,-1.373939374123769,-0.018626384059572395,0.5986,-0.024070105339692227,0.8,583.2153982498376
Meghalaya,2020,3734.722756096075,0.5578229203954564,6695.176228055356,2960.4534719592807,-1.0017933519414917,0.7173391974544052,0.6356999999999999,0.9269877605763079,0.8,1621.4182263482103
Mizoram,2020,2106.0263137782654,0.97065252565115,2169.701575098117,63.675261319851415,1.7998342490156625,-0.7725929845186787,0.9150000000000001,-0.9983899431362925,0.8,0.0
Nagaland,2020,3146.4069220843235,0.8187446278872309,3842.964967237246,696.5580451529227,0.0619825416550219,0.08106748110571232,0.74175,0.10476015117035682,0.8,0.0
Odisha,2020,41171.28048203714,0.8317237205595313,49501.14979808403,8329.86931604689,0.8925402407572482,1.396015585749389,0.8245499999999999,1.8040131727859512,0.8,0.0
Puducherry,2020,2492.221370460826,0.98,2543.083031082476,50.86166062164966,2.4092108217265347,-1.548541463630468,0.97575,-2.001116053081162,0.8,0.0
Punjab,2020,41685.60567434803,0.8209864268466095,50775.024179707216,9089.418505359186,-0.6406813088535651,-1.2140867561742508,0.6717000000000001,-1.568914074743362,0.8,0.0
Rajasthan,2020,123928.0085746565,0.7238186645481952,171214.16543190673,47286.15685725023,-0.21386693570381055,0.6733025375249331,0.7142499999999999,0.870081007235429,0.8,13043.323770868883
Sikkim,2020,1196.4828157969064,0.8258970172115847,1448.707031097537,252.2242153006307,-0.42802643903512144,-0.8988643180871528,0.6929,-1.1615651622585734,0.8,0.0
Tamil Nadu,2020,63437.04968460461,0.9103469769896991,69684.47338000269,6247.42369539808,0.5499853443280093,-0.6605546892470305,0.7904,-0.8536074904260407,0.8,0.0
Telangana,2020,57035.054527682245,0.9215778841183909,61888.480084614544,4853.4255569322995,1.0204340893508899,-0.10595177594750688,0.8373,-0.13691709565460553,0.8,0.0
Tripura,2020,1868.7148653962242,0.42901148122675,4355.86213229695,2487.147266900726,-1.3483606044050416,1.1299512460392387,0.60115,1.4601892366168934,0.8,1615.974840441336
Uttar Pradesh,2020,330829.30321764224,0.5321748839149641,621655.2363085689,290825.9330909266,-1.1176501324322003,0.7157040098416168,0.62415,0.9248746752901839,0.8,166494.88582921284
Uttarakhand,2020,18046.49797582061,0.8508871693006751,21209.037610301046,3162.539634480436,0.08605667786088426,-0.34302101041841515,0.7441500000000001,-0.4432718571727021,0.8,0.0
West Bengal,2020,71318.85767554426,0.7718287390773643,92402.43860418836,21083.580928644093,0.251064819771893,0.9998137808630053,0.7605999999999999,1.292017975602732,0.8,2603.0932078064216
Andaman & Nicobar Islands,2021,466.55403660403687,0.9229469572073387,505.5047128772604,38.95067627322351,0.36090306621113816,-0.1777359613205843,0.7715500000000001,-0.229680827902784,0.8,0.0
Andhra Pradesh,2021,79904.97062406653,0.9454746000982684,84513.08011422154,4608.10949015501,0.531428197669324,-0.6106760536939783,0.78855,-0.7891513937342596,0.8,0.0
Arunachal Pradesh,2021,2506.692693706896,0.8417220546285427,2978.052766852017,471.3600731451211,-0.5238214393542788,-0.14627909131816408,0.68335,-0.1890304165189323,0.8,0.0
Assam,2021,34638.18637438373,0.5608761384651372,61757.28293446872,27119.09656008499,-1.4035304998768086,1.123001893354627,0.5956499999999999,1.451208875714515,0.8,14767.639973191246
Bihar,2021,121196.38320091019,0.3248316752786256,373105.18777749594,251908.80457658577,-2.0329688527592333,1.9427598179469165,0.5328999999999999,2.510548119170243,0.8,177287.7670210866
Chandigarh,2021,4343.461642546457,0.9628286694274634,4511.146978131897,167.68533558544004,0.33482275198812084,-1.767200505082145,0.76895,-2.283680083994774,0.8,0.0
