Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3095912,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2011,,,,,,,,173 [163-189],173.3934629,162.6178432,188.6657544,,2025-04-10T15:44:11.957+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
3634261,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2005,,,,,,,,277 [253-312],276.5314878,252.7711865,312.3333846,,2025-04-10T15:44:11.957+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
3863090,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2010,,,,,,,,188 [176-207],188.3309128,175.6826714,206.7417276,,2025-04-10T15:44:11.957+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3944134,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2014,,,,,,,,137 [131-145],136.9139035,130.7333695,144.7144939,,2025-04-10T15:44:11.957+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4368494,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2016,,,,,,,,121 [116-125],120.7544123,116.4929425,125.2251024,,2025-04-10T15:44:11.957+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4424084,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1994,,,,,,,,451 [394-528],451.2348702,394.2188898,527.9603936,,2025-04-10T15:44:11.957+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
5057296,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1999,,,,,,,,378 [338-440],377.892415,338.4628595,439.5934891,,2025-04-10T15:44:11.957+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
5368512,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1996,,,,,,,,422 [374-494],422.2841963,374.3732535,494.0176049,,2025-04-10T15:44:11.957+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
5471325,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2013,,,,,,,,148 [140-159],148.1465251,140.3973808,158.5609056,,2025-04-10T15:44:11.957+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
5658550,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2020,,,,,,,,101 [96-108],100.5309048,95.60004695,107.9791614,,2025-04-10T15:44:11.957+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5817917,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1987,,,,,,,,592 [499-712],591.5070363,499.4544321,712.1291303,,2025-04-10T15:44:11.957+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
5919220,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2017,,,,,,,,113 [109-117],113.0118619,109.1520517,117.0293162,,2025-04-10T15:44:11.957+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5948858,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2009,,,,,,,,205 [190-227],205.049556,190.0931164,226.7257103,,2025-04-10T15:44:11.957+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6100633,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2012,,,,,,,,160 [151-173],160.0675755,150.8385445,172.5880097,,2025-04-10T15:44:11.957+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6616134,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1997,,,,,,,,407 [362-475],406.6746717,361.7057302,474.6178087,,2025-04-10T15:44:11.957+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
6641635,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2015,,,,,,,,129 [123-134],128.5131552,123.4438735,134.3271458,,2025-04-10T15:44:11.957+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7201638,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1992,,,,,,,,482 [417-563],481.5677737,416.9575985,563.4530263,,2025-04-10T15:44:11.957+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
7219308,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1990,,,,,,,,516 [442-609],515.6008445,441.9444189,608.8863712,,2025-04-10T15:44:11.957+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
7232989,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1986,,,,,,,,624 [524-758],623.505875,524.3623013,758.2621885,,2025-04-10T15:44:11.957+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
7456538,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2006,,,,,,,,258 [237-291],258.3269913,236.9684105,291.2936862,,2025-04-10T15:44:11.957+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7633358,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2021,,,,,,,,155 [115-227],154.7977765,115.0330867,227.4706956,,2025-04-10T15:44:11.957+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7685093,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2023,,,,,,,,80 [73-87],80.4818209,73.04362267,87.47780145,,2025-04-10T15:44:11.957+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7830669,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2008,,,,,,,,223 [206-249],222.7045931,205.8140104,248.7062637,,2025-04-10T15:44:11.957+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
7855040,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1991,,,,,,,,498 [427-586],497.7830534,426.7685439,585.8229445,,2025-04-10T15:44:11.957+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
7862984,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2000,,,,,,,,362 [326-420],362.2967683,325.88712,419.5163972,,2025-04-10T15:44:11.957+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
8149348,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2019,,,,,,,,101 [96-106],101.0540697,96.28316563,105.7255952,,2025-04-10T15:44:11.957+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
8377310,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1985,,,,,,,,658 [550-803],657.5321262,549.9205775,803.2479588,,2025-04-10T15:44:11.957+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
9068693,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1993,,,,,,,,467 [407-547],467.1877796,406.629805,547.3519678,,2025-04-10T15:44:11.957+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
9775059,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1998,,,,,,,,393 [351-457],392.5635465,350.7942952,457.1407808,,2025-04-10T15:44:11.957+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
