Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
294899,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1988,,,,,,,,562 [477-672],562.4911411,477.2296241,672.4464761,,2025-04-10T15:44:11.957+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
809439,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2001,,,,,,,,349 [315-402],349.1435332,315.2796839,401.5566787,,2025-04-10T15:44:11.957+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1166651,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2022,,,,,,,,90 [83-102],89.64524763,83.4570628,101.6543824,,2025-04-10T15:44:11.957+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1256032,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2007,,,,,,,,240 [221-270],240.2857908,221.4249262,269.9374883,,2025-04-10T15:44:11.957+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1336545,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2004,,,,,,,,296 [270-336],296.3672521,270.2285969,335.7479755,,2025-04-10T15:44:11.957+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1463981,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2018,,,,,,,,107 [103-111],107.0050258,102.9999802,111.254458,,2025-04-10T15:44:11.957+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
1891961,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2003,,,,,,,,313 [284-358],312.9910189,284.0411242,357.8681811,,2025-04-10T15:44:11.957+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
2193328,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1995,,,,,,,,437 [385-511],436.778003,384.7591792,511.3904954,,2025-04-10T15:44:11.957+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2340011,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1989,,,,,,,,538 [459-639],538.430895,459.2097276,639.0236051,,2025-04-10T15:44:11.957+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
2657069,MDG_0000000026,COUNTRY,IND,YEAR,SEAR,South-East Asia,,2002,,,,,,,,330 [299-380],330.1164081,299.3679827,379.6989445,,2025-04-10T15:44:11.957+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
