Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
10356,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2002,,,,,,,30 [15-88],30.0,15.0,88.0,,2025-11-11T16:20:50.77+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
112136,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2016,,,,,,,58 [50-69],58.0,50.0,69.0,,2025-11-11T16:20:50.77+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
164319,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2013,,,,,,,39 [25-68],39.0,25.0,68.0,,2025-11-11T16:20:50.77+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
242791,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2010,,,,,,,39 [21-95],39.0,21.0,95.0,,2025-11-11T16:20:50.77+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
515019,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2000,,,,,,,33 [16-96],33.0,16.0,96.0,,2025-11-11T16:20:50.77+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
814403,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2014,,,,,,,50 [37-72],50.0,37.0,72.0,,2025-11-11T16:20:50.77+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
885644,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2007,,,,,,,36 [19-97],36.0,19.0,97.0,,2025-11-11T16:20:50.77+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1138954,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2012,,,,,,,39 [25-72],39.0,25.0,72.0,,2025-11-11T16:20:50.77+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1403525,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2004,,,,,,,32 [16-90],32.0,16.0,90.0,,2025-11-11T16:20:50.77+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1734777,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2006,,,,,,,34 [18-94],34.0,18.0,94.0,,2025-11-11T16:20:50.77+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1759904,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2015,,,,,,,53 [42-69],53.0,42.0,69.0,,2025-11-11T16:20:50.77+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1952087,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2020,,,,,,,59 [51-68],59.0,51.0,68.0,,2025-11-11T16:20:50.77+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2326306,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2024,,,,,,,92 [79-110],92.0,79.0,110.0,,2025-11-11T16:20:50.77+01:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
2859630,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2005,,,,,,,32 [16-90],32.0,16.0,90.0,,2025-11-11T16:20:50.77+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
3452459,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2017,,,,,,,56 [50-63],56.0,50.0,63.0,,2025-11-11T16:20:50.77+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5061260,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2021,,,,,,,71 [61-82],71.0,61.0,82.0,,2025-11-11T16:20:50.77+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
5300785,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2011,,,,,,,39 [24-76],39.0,24.0,76.0,,2025-11-11T16:20:50.77+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
5646754,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2022,,,,,,,81 [70-93],81.0,70.0,93.0,,2025-11-11T16:20:50.77+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6321696,TB_1,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2018,,,,,,,67 [60-75],67.0,60.0,75.0,,2025-11-11T16:20:50.77+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
