stateut,2020,2021,2022,2023,source_file,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,source_file_rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,source_file_rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,tb_cases_notification_in_2024_january_to_october,tb_deaths__2024_january_to_october,source_file_rs_RS_Session_266_AU_2511_1_clean.csv,2023__tb_patients_notified,2023__treated_successfully,2024__tb_patients_notified,source_file_rs_RS_Session_267_AU_3467_1_clean.csv,state_ut,Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Men age 15 years and above who use any kind of tobacco (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who consume alcohol (%),Population living in households that use an improved sanitation facility2 (%),Households using clean fuel for cooking3 (%)
Jharkhand,45505,52179,57320,23890,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,29,28,23,15,4,29,29,23,15,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.3,1.3,2.5,4.0,4.9,1.1,1.3,2.4,3.4,4.8,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,53213,1272,rs_RS_Session_266_AU_2511_1_clean.csv,60592,54623,63913,rs_RS_Session_267_AU_3467_1_clean.csv,Jharkhand,40.1775,40.38916666666667,23.09583333333333,68.21208333333333,48.594166666666666,9.093333333333334,37.38583333333333,55.30375,28.04125
Karnataka,65785,72435,80416,31794,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,4,22,28,25,21,4,22,27,26,21,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.2,2.2,5.7,8.3,13.5,1.4,2.1,4.9,6.8,11.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,65186,3711,rs_RS_Session_266_AU_2511_1_clean.csv,74493,65094,74135,rs_RS_Session_267_AU_3467_1_clean.csv,Karnataka,34.574666666666666,31.295333333333335,19.22533333333333,64.56,27.721666666666668,9.673333333333334,16.942,74.596,76.08066666666667
Kerala,20835,21872,23388,9113,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,2,13,17,32,36,2,14,18,32,34,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.6,1.2,3.1,6.9,16.9,0.7,1.4,3.4,7.4,16.9,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,17267,1540,rs_RS_Session_266_AU_2511_1_clean.csv,20558,17117,20214,rs_RS_Session_267_AU_3467_1_clean.csv,Kerala,23.275714285714287,19.364285714285717,15.051428571428572,38.294285714285714,18.032857142857143,2.7235714285714288,20.669285714285714,98.59785714285714,70.2192857142857
Ladakh,239,291,320,167,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,16,14,18,49,3,15,16,16,50,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,1.4,0.0,1.7,8.6,0.0,2.0,0.0,2.2,2.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,235,5,rs_RS_Session_266_AU_2511_1_clean.csv,328,257,318,rs_RS_Session_267_AU_3467_1_clean.csv,Ladakh,30.395,20.365000000000002,17.46,91.66499999999999,35.74,3.1450000000000005,23.735,42.32,75.775
Lakshadweep,20,12,11,6,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,0,42,25,8,25,0,8,25,33,34,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,6,1,rs_RS_Session_266_AU_2511_1_clean.csv,13,12,14,rs_RS_Session_267_AU_3467_1_clean.csv,Lakshadweep,32.02,25.78,17.35,43.08,28.49,17.53,0.44,99.8,59.43
Madhya Pradesh,137648,166346,186293,72591,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,7,30,27,21,15,7,30,27,21,15,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.2,1.7,3.0,5.1,8.0,1.2,1.6,3.0,4.8,7.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,149093,5152,rs_RS_Session_266_AU_2511_1_clean.csv,178884,156839,177525,rs_RS_Session_267_AU_3467_1_clean.csv,Madhya Pradesh,34.66274509803922,31.944117647058825,18.22078431372549,67.36980392156863,47.108039215686276,10.558235294117647,17.701176470588234,64.16470588235295,37.56392156862745
Manipur,1563,1793,2554,900,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,17,21,25,34,3,19,20,24,34,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.3,1.1,2.4,3.8,5.7,1.7,1.1,2.2,1.9,6.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2067,67,rs_RS_Session_266_AU_2511_1_clean.csv,2522,1813,2561,rs_RS_Session_267_AU_3467_1_clean.csv,Manipur,24.61333333333333,13.746666666666666,9.934444444444445,41.964444444444446,60.89888888888889,42.27444444444445,37.376666666666665,71.34777777777778,59.022222222222226
Meghalaya,4139,4152,4989,2057,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,35,30,18,11,7,34,31,19,9,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.9,1.8,4.3,7.7,9.6,2.5,1.7,3.7,8.3,12.6,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,3890,180,rs_RS_Session_266_AU_2511_1_clean.csv,4493,3840,4318,rs_RS_Session_267_AU_3467_1_clean.csv,Meghalaya,42.99818181818182,25.439090909090908,13.696363636363635,41.93,59.27,27.866363636363634,34.480909090909094,83.3790909090909,26.654545454545453
Mizoram,2334,1749,2085,981,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,8,31,32,16,13,6,32,30,18,14,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.7,1.6,3.3,5.9,13.3,3.4,2.6,5.8,4.6,16.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,1985,102,rs_RS_Session_266_AU_2511_1_clean.csv,2115,1541,2163,rs_RS_Session_267_AU_3467_1_clean.csv,Mizoram,29.2875,13.29125,10.03875,46.025,73.76375,62.62875,25.36,94.145,75.68875
Nagaland,3487,3648,4125,1896,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,35,29,17,13,6,34,30,17,13,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.8,0.8,2.8,3.3,5.1,1.5,1.4,2.3,3.9,5.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,3419,93,rs_RS_Session_266_AU_2511_1_clean.csv,4192,3278,4009,rs_RS_Session_267_AU_3467_1_clean.csv,Nagaland,33.156363636363636,26.536363636363635,18.10363636363636,42.97363636363636,49.054545454545455,12.466363636363637,23.389090909090907,88.21363636363637,33.48909090909091
